title,body,field_image_sec,field_code,field_parent_section_id,field_edu_id,field_section_type_id,field_founding_date,field_defunct_date,field_history,field_head_title,field_ahead_title,field_head,field_ahead,path
"Faculty of Arts",body,arts.jpg,ART,,"phpEdu University",2,2000-06-10,,"<p>The Faculty of Arts is committed to learning as a collaborative process,the faculty nurtures excellence in the visual and performing arts,architecture,design,art and design history,media studies,moving image and film studies,literature,languages and humanities,and provides a world-leading research environment for the arts.</p>",Dean,"Deputy dean",KateMiddleton,WilliamWinter,/arts
"Faculty of Science",body,science.jpg,SCE,,"phpEdu University",2,2000-06-10,,"<p>Science at phpEdu covers a broad range of subject areas,including many innovative,cross-disciplinary collaborations. Our four Schools span the human and environmental sciences (archaeology,geography,soil science and meteorology),as well as the physical sciences and technology (construction management,mathematics,computer science,cybernetics and electronic engineering).</p><p>Our teaching and research are renowned both nationally and internationally,and two of our subject areas - archaeology and meteorology - have been awarded the prestigious Queen's Anniversary Prize in recognition of their excellence. We have close research links with other Schools across the University and with external organisations,and strong links with business.</p>",Dean,"Deputy dean",DominicWoodward,ChloeChamberlain,/science
"Institute of Sport",body,sports.jpg,SPT,,"Institute of Sport",2,2000-08-17,,"<p>Improving performance is at the core of everything we do and our practitioners work daily with coaches and athletes as part of their elite performance programmes. We work in multi-disciplinary teams to provide a holistic service that supports coaches and Performance Directors (PDs) in helping to improve the training, preparation and performance of their athletes.</p><p>What we do enables athletes to optimise training and practice; assists athletes to achieve peak performance at major tournaments, enables athletes and coaches to prevent, reduce and manage injuries; helps athletes and coaches to manage pressure and stress; and deploys performance enhancing technology, insight and analysis to enable athletes to develop strategies and tactics for competition.</p>",Director,"Deputy director",RyanFitzgerald,LewisScott,/sport
"Faculty of Pharmacy",body,pharmacy.jpg,PHA,,"phpEdu University",2,2000-06-10,,"<p>The Faculty is characterized by its teaching expertise,research programs,and practice partnerships in the health sciences field.  The provision of good pharmaceutical care requires that the pharmacist must have a thorough knowledge of the science of medicines to apply to their clinical use.  In addition to academic excellence,many students appreciate the academic and personal experiences resulting from membership in a small faculty.</p><p>The Faculty has been recognized at the provincial,national and international levels through receipt of research grants and participation in academic,professional and scientific programs,boards,and committees.  This professional expertise is reflected in the teaching and research which is undertaken in the Faculty.</p>",Dean,"Deputy dean",JacobWyatt,OliviaPoole,/pharmacy
"School of Dentistry",body,dentistry.jpg,DEN,,"phpEdu University",2,2000-06-10,,"<p>The phpEdu School of Dentistry is one of the leading dental schools in the world and provides unique and important leadership in dental research,teaching and patient care.</p><p>The School is located at the main university campus,a 53-acre site shared with the University Teaching Hospital.  Progressive healthcare education and patient care are successfully integrated with world famous research facilities in this major teaching and research centre.  The academic and clinical staff within the School are recognised as being world-leading experts in their fields,providing valuable clinical services to the local people in addition to their academic responsibilities.</p>",Dean,"Deputy dean",SebastianRahman,AbigailHancock,/dentistry
"Faculty of Engineering",body,engineering.jpg,ENG,,"phpEdu University",2,2001-06-30,,"<p>Studying engineering at the University of phpEdu is both a challenging and rewarding experience.  Through one of the university's guiding principles, our research is 'leading the way', which drives the learning of all our students.  Going to university can be a life changing decision - many students move away from home for the first time which can be both an exciting and daunting mix of emotions.</p><p>Here at the university we do our best to welcome students to the city and introduce the many attractions across Wiltshire.  Within our faculty, we set a programme of induction for our new students, run a popular mentoring scheme and generally help you settle in academically.</p>",Dean,"Deputy dean",CallumMcDonald,LilyPeters,/engineering
"College of Medical Sciences",body,medical.jpg,MED,,"College of Medical Sciences",2,2000-06-10,,"<p>Founded in 2004 the College of Medical Sciences is one of the fastest growing medical schools in the UK. We are a centre of excellence in world-class medical teaching and research.</p><p>Located in the heart of the University Campus,our college delivers a comprehensive education and training portfolio,from undergraduate and post-graduate programmes in medicine,to professional graduate training and research.</p><p>We also work closely with our NHS partners in achieving excellence in  teaching,research and clinical service.</p>",Dean,"Deputy dean",DavidMellor,LydiaSaunders,/medical-sciences
"University Administration and Services",body,adm.jpg,ADM,,"phpEdu University",3,2000-06-10,,"<p>University Administration and Services (UAS) is the collective term for the central administrative departments of the University.</p><p>UAS consists of a number of sections,including the Finance Division,IT Services and Personnel Services. The offices of the UAS sections are spread across the city centre,with the main University Offices located in the Queen Elizabeth Building which is easily accessible near the main gates of the main campus.</p>",Registrar,"Deputy registrar",DaisyMiddleton,ScottAllen,/administration
"Department of Anatomy",body,anatomy.jpg,ANA,"College of Medical Sciences","College of Medical Sciences",2,2000-06-10,,"<p>The Department of Anatomy is primarily a teaching department,though several of its members conduct research in other fields.</p><p>The Centre for Comparative and Clinical Anatomy (CCCA) is a unique facility committed to delivering exceptional undergraduate teaching to medical,dental and veterinary students. The centre has both human and veterinary dissecting rooms where students are taught using effective modern technology. The centre's research is concentrated in musculoskeletal science and neuroendocrinology,with members of each group involved in basic and applied research.</p><p>The CCCA relies heavily on the generosity of members of the public who bequeath their bodies to the centre in order to offer this essential training. The centre also provides material and support for many clinically related research projects. The clinical training courses offered by the centre are currently dental,orthopaedic,laparoscopic and plastic surgery,and hosted in the Vesalius Clinical Training Centre.The Centre also offers its own Human Anatomy Refresher Course for external undergraduates.</p>","Head of department","Asst. Head of department",SophieHarper,SummerBooth,/anatomy
"Department of Surgery",body,surgery.jpg,SGY,"College of Medical Sciences","College of Medical Sciences",2,2000-06-10,,"<p>The Department of Surgery has a strong clinical research emphasis and our overall strategy is to improve the surgical management of disease through developments in both basic and translational research.  There is a major focus on applied clinical research and a key feature of the department is the close integration of University and NHS surgeons.</p><p>University surgeons,in parallel with directing programmes of research,play an important role in the development and delivery of specialist surgical services.  Similarly,many NHS surgeons are,in addition to their clinical responsibilities,undertaking high quality clinical research supported through close collaboration with University colleagues. </p><p>Academic surgery in phpEdu is flourishing and the department continues to expand. The principal research interests are transplantation,stem cell medicine,surgical oncology and orthopaedic surgery.  In addition,clinical research of international importance is being led by NHS surgical colleagues across a range of surgical disciplines,including ear,nose and throat surgery,ophthalmic surgery,gastrointestinal surgery and vascular surgery.</p>","Head of department","Asst. Head of department",DanielWarren,RobertWatkins,/surgery
