name,description,format,weight,puuid,vocabulary_machine_name,parent
Academic,,basic_html,0,f724a9b5-681f-0c84-796e-6758afed0535,position,
Non-academic,,basic_html,0,5de51388-a887-0734-fd0e-88a28a76f20e,position,
Porter,,basic_html,0,00679542-3237-4184-7dc1-3874f2f4ae67,position,5de51388-a887-0734-fd0e-88a28a76f20e
"Asst. Professor",,basic_html,0,06e3d111-dd5b-0f94-698e-eed00bbd2569,position,f724a9b5-681f-0c84-796e-6758afed0535
"Lab Assistant",,basic_html,0,0ce724da-92da-7744-35b8-10bed19d959b,position,5de51388-a887-0734-fd0e-88a28a76f20e
Technician,,basic_html,0,41f87df9-0cbe-1244-3da3-a0051e7e923c,position,5de51388-a887-0734-fd0e-88a28a76f20e
"Chief Warden",,basic_html,0,4a02ed66-1508-4243-ab00-b526a8092eba,position,5de51388-a887-0734-fd0e-88a28a76f20e
"Secretary II",,basic_html,0,5bd40d68-a530-2d24-496c-f7d9e6be64ef,position,5de51388-a887-0734-fd0e-88a28a76f20e
"Lecturer I",,basic_html,0,6706ac69-6879-d4b4-f9c5-4866d6feda45,position,f724a9b5-681f-0c84-796e-6758afed0535
Professor,,basic_html,0,75cb9035-8c17-be14-f1fa-407cfc5468d7,position,f724a9b5-681f-0c84-796e-6758afed0535
"Asst. Lecturer",,basic_html,0,853c6bab-2240-2d24-d113-e6c8cc817d0a,position,f724a9b5-681f-0c84-796e-6758afed0535
"Lecturer II",,basic_html,0,8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,position,f724a9b5-681f-0c84-796e-6758afed0535
Driver,,basic_html,0,8e3b858a-be06-4659-8100-0b9007b901d8,position,5de51388-a887-0734-fd0e-88a28a76f20e
"Security Guard",,basic_html,0,ca4e4218-69b5-433e-864c-768d9ff88c7d,position,5de51388-a887-0734-fd0e-88a28a76f20e
"Secretary I",,basic_html,0,de0465c1-ba22-f1c4-555c-54bfec6cd14a,position,5de51388-a887-0734-fd0e-88a28a76f20e
"Snr. Lab Assistant",,basic_html,0,eb3b8b03-ccaa-37f4-c935-e86b8707f559,position,5de51388-a887-0734-fd0e-88a28a76f20e
"Snr. Lecturer",,basic_html,0,f16aa217-b632-8134-4d5e-89039aa697e5,position,f724a9b5-681f-0c84-796e-6758afed0535
