Aachen, Germany:::633175:::Aachen, Germany
Aalborg, Denmark:::551890:::Aalborg, Denmark
Abadan, Iran:::2254271:::Abadan, Iran
Aberdeen, UK:::10243:::Aberdeen, UK
Abidjan, Ivory Coast:::1339615:::Abidjan, Ivory Coast
Abu Dhabi, U.A.E:::1940330:::Abu Dhabi, U.A.E
Abuja, Nigeria:::1398823:::Abuja, Nigeria
Acapulco, Mexico:::110978:::Acapulco, Mexico
Accra, Ghana:::1326075:::Accra, Ghana
Addis Ababa, Ethiopia:::1313090:::Addis Ababa, Ethiopia
Adelaide, Australia:::1099805:::Adelaide, Australia
Aden, Yemen:::1958930:::Aden, Yemen
Agadir, Morocco:::1542773:::Agadir, Morocco
Agia Marina, Greece:::56064414:::Agia Marina, Greece
Agia Pelagia, Greece:::55862978:::Agia Pelagia, Greece
Agios Nikolaos, Greece:::950333:::Agios Nikolaos, Greece
Ajaccio, France:::575627:::Ajaccio, France
Akureyri, Iceland:::980027:::Akureyri, Iceland
Al Basrah, Iraq:::1979390:::Al Basrah, Iraq
Al Zarqa, Jordania:::1968491:::Al Zarqa, Jordania
Alajuela, Costa Rica:::57669:::Alajuela, Costa Rica
Alanya, Turkey:::2343715:::Alanya, Turkey
Alassio, Italy:::709900:::Alassio, Italy
Albacete, Spain:::751648:::Albacete, Spain
Albena, Bulgaria:::55862977:::Albena, Bulgaria
Albufeira, Portugal:::735563:::Albufeira, Portugal
Albuquerque, USA:::2352824:::Albuquerque, USA
Alcudia, Spain:::751867:::Alcudia, Spain
Aleppo, Syria:::1947132:::Aleppo, Syria
Alexandria, Egypt:::1522006:::Alexandria, Egypt
Algarve, Portugal:::742676:::Algarve, Portugal
Algeciras, Spain:::752067:::Algeciras, Spain
Alger, Algeria:::1253079:::Alger, Algeria
Alghero, Italy:::709973:::Alghero, Italy
Alicante, Spain:::752101:::Alicante, Spain
Alice Springs, Australia:::1099853:::Alice Springs, Australia
Almaty, Kazakstan:::2255777:::Almaty, Kazakstan
Almeria, Spain:::752212:::Almeria, Spain
Alta, Norway:::856589:::Alta, Norway
Alvor, Portugal:::736072:::Alvor, Portugal
Amman, Jordania:::1968902:::Amman, Jordania
Amsterdam, Netherlands:::727232:::Amsterdam, Netherlands
Anaheim, USA:::2354447:::Anaheim, USA
Anapa, Russia:::2120016:::Anapa, Russia
Anchorage, USA:::2354490:::Anchorage, USA
Ancona, Italy:::710129:::Ancona, Italy
Andorra:::472553:::Andorra
Anguilla:::56273:::Anguilla
Ankara, Turkey:::2343732:::Ankara, Turkey
Antalya, Turkey:::2343733:::Antalya, Turkey
Antananarivo, Madagascar:::1358594:::Antananarivo, Madagascar
Antibes, France:::576272:::Antibes, France
Antigua and Barbuda:::56220:::Antigua and Barbuda
Antwerpen, Belgium:::966591:::Antwerpen, Belgium
